"CIRCUIT_ID","CIRCUIT_NAME","CIRCUIT_LOCATION","CIRCUIT_COUNTRY","CIRCUIT_LATITUDE","CIRCUIT_LONGITUDE","CIRCUIT_ALTITUDE"
62,"Monsanto Park Circuit","Lisbon","Portugal",38.7197,-9.20306,158
63,"Sebring International Raceway","Florida","USA",27.4547,-81.3483,18
64,"Ain Diab","Casablanca","Morocco",33.5786,-7.6875,19
65,"Pescara Circuit","Pescara","Italy",42.475,14.1508,129
66,"Circuit Bremgarten","Bern","Switzerland",46.9589,7.40194,551
67,"Circuit de Pedralbes","Barcelona","Spain",41.3903,2.11667,85
68,"Buddh International Circuit","Uttar Pradesh","India",28.3487,77.5331,194
69,"Circuit of the Americas","Austin","USA",30.1328,-97.6411,161
70,"Red Bull Ring","Spielburg","Austria",47.2197,14.7647,678
71,"Sochi Autodrom","Sochi","Russia",43.4057,39.9578,2
72,"Port Imperial Street Circuit","New Jersey","USA",40.7769,-74.0111,4
73,"Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,-7
74,"Hanoi Street Circuit","Hanoi","Vietnam",21.0166,105.766,9
75,"Autódromo Internacional do Algarve","Portimão","Portugal",37.227,-8.6267,108
76,"Autodromo Internazionale del Mugello","Mugello","Italy",43.9975,11.3719,255
77,"Jeddah Street Circuit","Jeddah","Saudi Arabia",21.5433,39.1728,15
